tour,country_code,first_name,last_name,first_initial,full_name,invert_name,exception
ATP,CHN,F.,Nidunjianzan,F,F. Nidunjianzan,1,0
ATP,CHN,Sheng,Tang,S,Sheng Tang,1,0
ATP,CHN,Jin,Tang,J,Jin Peng Tang,1,0
ATP,CHN,F.,Jiang,F,F. Jiang,1,0
ATP,CHN,W.,Kong,W,W. Kong,1,0
ATP,CHN,Z.,Li,Z,Z. Li,1,0
ATP,CHN,Y.,Bai,Y,Y. Bai,1,0
ATP,CHN,Minghui,Zhang,M,Minghui Zhang,1,0
ATP,CHN,Z.,Sun,Z,Z. Sun,1,0
ATP,CHN,Xiaofei,Wang,X,Xiaofei Wang,1,0
ATP,CHN,Yibing,Wu,Y,Yibing Wu,1,0
ATP,CHN,X.,Han,X,X. Han,1,0
ATP,CHN,W.,Fan,W,W. Fan,1,0
ATP,CHN,Charles,Chen,C,Charles Chen,1,0
ATP,CHN,Xing,Chen,X,Xing Dao Chen,1,0
ATP,CHN,Jun,Luo,J,Jun Hao Luo,1,0
ATP,CHN,Yunchaokete,Bu,Y,Yunchaokete Bu,1,0
ATP,CHN,D.,Nima,D,D. Nima,1,0
ATP,CHN,Tianhui,Zhang,T,Tianhui Zhang,1,0
ATP,CHN,Fanming,Meng,F,Fanming Meng,1,0
ATP,CHN,Weitao,Xu,W,Weitao Xu,1,0
ATP,CHN,Y.,Jin,Y,Y. Jin,1,0
ATP,CHN,Zhenxiong,Dong,Z,Zhenxiong Dong,1,0
ATP,CHN,Qiulin,Wang,Q,Qiulin Wang,1,0
ATP,CHN,Ye,Hongyu,Y,Ye Hongyu,1,0
ATP,CHN,Linghao,Zhang,L,Linghao Zhang,1,0
ATP,CHN,Kaigaoge,Kang,K,Kaigaoge Kang,1,0
ATP,CHN,F.,Sun,F,F. Sun,1,0
ATP,CHN,S.,Liu,S,S. Liu,1,0
ATP,CHN,Malanqi,Du,M,Malanqi Du,1,0
ATP,CHN,Linang,Xiao,L,Linang Xiao,1,0
ATP,CHN,Zhou,Mingzhou,Z,Zhou Mingzhou,1,0
ATP,CHN,P.,Lu,P,P. Lu,1,0
ATP,CHN,Zhizhen,Zhang,Z,Zhizhen Zhang,1,0
ATP,CHN,Zhan,Zheng,Z,Zhan Zheng,1,0
ATP,CHN,Qian,Sun,Q,Qian Sun,1,0
ATP,CHN,Haoyuan,Huang,H,Haoyuan Huang,1,0
ATP,CHN,Ye,Mo,Y,Ye Cong Mo,1,0
ATP,KOR,Yun,Chung,Y,Yun seong Chung,1,0
ATP,KOR,Uisung,Park,U,Uisung Park,1,0
ATP,KOR,J.,Nam,J,J. Nam,1,0
ATP,KOR,S.,Cho,S,S. Cho,1,0
ATP,KOR,Gerard,Lee,G,Gerard Campana Lee,1,0
ATP,KOR,Duckhee,Lee,D,Duckhee Lee,1,0
ATP,KOR,J.,Choe,J,J. Choe,1,0
ATP,KOR,C.,Oh,C,C. Oh,1,0
ATP,KOR,M.,Ko,M,M. Ko,1,0
ATP,KOR,Woong,Lee,W,Woong Bi Lee,1,0
ATP,KOR,Junhyeon,Lee,J,Junhyeon Lee,1,0
ATP,KOR,G.,Kim,G,G. Kim,1,0
ATP,KOR,Suk,Ann,S,Suk Ann,1,0
ATP,KOR,Y.,Jeong,Y,Y. Jeong,1,0
ATP,KOR,S.,Shin,S,S. Shin,1,0
ATP,KOR,Jangjun,Kim,J,Jangjun Kim,1,0
ATP,KOR,Woobin,Shin,W,Woobin Shin,1,0
ATP,KOR,Y.,Park,Y,Y. Park,1,0
ATP,KOR,Seonyong,Han,S,Seonyong Han,1,0
ATP,KOR,M.,Park,M,M. Park,1,0
ATP,KOR,Suk,Choo,S,Suk Hyun Choo,1,0
ATP,KOR,Y.,Jang,Y,Y. Jang,1,0
ATP,KOR,H.,Chung,H,H. Chung,1,0
ATP,KOR,H.,Roh,H,H. Roh,1,0
ATP,KOR,Sungbeen,Sim,S,Sungbeen Sim,1,0
ATP,KOR,Soonwoo,Kwon,S,Soonwoo Kwon,1,0
ATP,KOR,Seungmin,Park,S,Seungmin Park,1,0
ATP,KOR,Dong,Kim,D,Dong Ju Kim,1,0
ATP,TPE,C.,Tseng,C,C. Tseng,1,0
ATP,TPE,Kuan-Yi,Lee,K,Kuan-Yi Lee,1,0
ATP,TPE,J.,Jung,J,J. Jung,1,0
ATP,TPE,Cing-Yang,Meng,C,Cing-Yang Meng,1,0
ATP,TPE,K.,Wu,K,K. Wu,1,0
ATP,TPE,Kai-I,Wang,K,Kai-I Wang,1,0
ATP,TPE,T.,Wu,T,T. Wu,1,0
ATP,TPE,Yu,Hsu,Y,Yu Hsiou Hsu,1,0
ATP,TPE,T.,Huang,T,T. Huang,1,0
ATP,TPE,Hong-Lin,Fu,H,Hong-Lin Fu,1,0
ATP,TPE,C.,Hou,C,C. Hou,1,0
ATP,TPE,B.,Yin,B,B. Yin,1,0
ATP,HKG,K.,Thompson,K,K. Thompson,1,0
ATP,HKG,Coleman,Wong,C,Coleman Wong,1,0
ATP,HKG,T.,Wong,T,T. Wong,1,0
